low,up,y_test
1.0,5.0,5.0
1.0,5.0,5.0
1.0,5.0,4.0
1.0,5.0,2.0
1.0,4.611608686337512,1.0
1.0,5.0,4.0
1.0,5.0,4.0
1.0,5.0,5.0
1.0,5.0,5.0
1.0,5.0,3.0
1.0,5.0,4.0
1.0,5.0,5.0
1.0,5.0,3.0
1.0,5.0,5.0
1.0,4.611608686337512,1.0
1.0,5.0,5.0
1.0,5.0,1.0
1.0,5.0,5.0
1.0,5.0,4.0
1.0,4.611608686337512,1.0
1.0,5.0,5.0
1.0,5.0,3.0
1.0,4.611608686337512,5.0
1.0,5.0,4.0
1.0,5.0,5.0
1.0,5.0,1.0
1.0,5.0,2.0
1.0,4.611608686337512,1.0
1.0,4.611608686337512,3.0
1.0,5.0,4.0
1.0,4.611608686337512,1.0
1.0,4.611608686337512,1.0
1.0,5.0,5.0
1.0,5.0,4.0
1.0,5.0,5.0
1.0,4.611608686337512,3.0
1.0,5.0,3.0
1.0,4.611608686337512,5.0
1.0,5.0,3.0
1.0,5.0,3.0
1.0,4.611608686337512,1.0
1.0,4.611608686337512,1.0
1.0,4.611608686337512,5.0
1.0,5.0,5.0
1.0,5.0,3.0
1.0,4.611608686337512,4.0
1.0,4.611608686337512,3.0
1.0,5.0,5.0
1.0,4.611608686337512,3.0
1.0,5.0,2.0
1.0,4.611608686337512,4.0
1.0,4.611608686337512,3.0
1.0,5.0,5.0
1.0,5.0,4.0
1.0,5.0,4.0
1.0,5.0,2.0
1.0,5.0,5.0
1.0,5.0,3.0
1.0,5.0,5.0
1.0,5.0,2.0
1.0,4.611608686337512,2.0
1.0,5.0,5.0
1.0,5.0,5.0
1.0,5.0,3.0
1.0,4.611608686337512,3.0
1.0,5.0,5.0
1.0,5.0,4.0
1.0,5.0,2.0
1.0,5.0,5.0
1.0,4.611608686337512,2.0
1.0,5.0,5.0
1.0,5.0,5.0
1.0,4.611608686337512,4.0
1.0,5.0,5.0
1.0,5.0,5.0
1.0,5.0,5.0
1.0,4.611608686337512,3.0
1.0,5.0,1.0
1.0,5.0,5.0
1.0,5.0,5.0
1.0,5.0,5.0
1.0,5.0,3.0
1.0,4.611608686337512,2.0
1.0,5.0,2.0
1.0,5.0,4.0
1.0,4.611608686337512,5.0
1.0,5.0,5.0
1.0,4.611608686337512,4.0
1.0,5.0,4.0
1.0,5.0,5.0
1.0,4.611608686337512,4.0
1.0,5.0,5.0
1.0,5.0,3.0
1.0,5.0,2.0
1.0,5.0,5.0
1.0,5.0,5.0
1.0,4.611608686337512,5.0
1.0,5.0,2.0
1.0,5.0,4.0
1.0,5.0,5.0
1.0,5.0,5.0
1.0,5.0,5.0
1.0,5.0,5.0
1.0,4.611608686337512,5.0
1.0,5.0,3.0
