low,up,y_test
1.0,3.7,1.0
1.7000000000000002,5.0,5.0
1.8,5.0,5.0
1.7000000000000002,4.9,2.0
1.7000000000000002,5.0,5.0
1.8,5.0,5.0
1.0,4.4,2.0
1.8,5.0,5.0
1.6,5.0,5.0
1.0,1.1,2.0
1.7000000000000002,5.0,5.0
1.7000000000000002,5.0,5.0
1.8,5.0,5.0
1.7000000000000002,4.9,2.0
1.0,1.8,1.0
1.8,5.0,2.0
1.8,5.0,5.0
1.8,5.0,1.0
1.0,1.2000000000000002,2.0
1.8,5.0,5.0
1.7000000000000002,5.0,5.0
1.8,5.0,5.0
1.0,1.0,2.0
1.7000000000000002,3.9000000000000004,2.0
1.0,3.1,1.0
1.0,4.800000000000001,2.0
1.8,5.0,5.0
1.8,5.0,5.0
1.6,4.6000000000000005,2.0
1.6,5.0,3.0
1.7000000000000002,5.0,5.0
1.0,4.800000000000001,5.0
1.0,5.0,1.0
1.7000000000000002,4.9,2.0
1.8,5.0,5.0
1.8,5.0,5.0
1.8,5.0,5.0
1.8,5.0,5.0
1.8,5.0,5.0
1.7000000000000002,5.0,1.0
1.8,5.0,4.0
1.8,5.0,5.0
1.8,5.0,4.0
1.8,5.0,5.0
1.8,5.0,5.0
1.8,5.0,5.0
1.6,4.0,5.0
1.7000000000000002,5.0,5.0
1.7000000000000002,5.0,5.0
1.7000000000000002,5.0,5.0
2.0,5.0,5.0
1.0,2.1,2.0
1.8,5.0,5.0
1.0,2.2,1.0
1.7000000000000002,5.0,5.0
1.0,1.5,2.0
1.7000000000000002,5.0,5.0
1.0,5.0,1.0
1.0,1.2000000000000002,2.0
1.8,5.0,5.0
1.8,5.0,5.0
1.0,4.800000000000001,1.0
1.7000000000000002,4.9,5.0
1.5,3.9000000000000004,1.0
1.8,5.0,5.0
1.8,5.0,5.0
1.7000000000000002,4.9,5.0
1.0,3.3000000000000003,2.0
1.9000000000000001,5.0,2.0
1.0,5.0,5.0
1.7000000000000002,4.7,2.0
1.7000000000000002,3.9000000000000004,2.0
1.7000000000000002,5.0,5.0
1.2000000000000002,3.9000000000000004,1.0
1.0,1.0,1.0
1.8,5.0,5.0
1.1,3.9000000000000004,1.0
1.8,5.0,5.0
1.8,5.0,5.0
1.8,5.0,5.0
1.0,1.2000000000000002,2.0
1.0,2.1,1.0
1.8,5.0,5.0
1.7000000000000002,5.0,4.0
1.7000000000000002,5.0,5.0
1.8,5.0,5.0
1.1,4.5,2.0
1.7000000000000002,5.0,5.0
1.0,2.1,2.0
1.7000000000000002,5.0,5.0
1.7000000000000002,5.0,5.0
1.7000000000000002,3.7,2.0
1.8,5.0,5.0
1.0,1.2000000000000002,2.0
1.0,1.7000000000000002,1.0
1.8,5.0,5.0
1.8,5.0,5.0
1.7000000000000002,5.0,4.0
1.7000000000000002,5.0,1.0
1.7000000000000002,5.0,5.0
